PLU,BARCODE,DESC,SUPCO,NAMA_SUPPLIER,KDSB,TAG,PTAG,BRG_AKTIF,COVERAGE,TABLOK,LPP_01_DCI,LPP_02_DCI,LPP_03_DCI
10000052,X001154052019,AIM CRACKERS CRISPY PCK 150,S1WP,PRIMA SENTOSA CV.,RT,,40738,Y,DCI,19.05.2.01,238,0,0
10000052,18999918457169,AIM CRACKERS CRISPY PCK 150,S1WP,PRIMA SENTOSA CV.,RT,,40738,Y,DCI,19.05.2.01,238,0,0
10000052,8999920000000,AIM CRACKERS CRISPY PCK 150,S1WP,PRIMA SENTOSA CV.,RT,,40738,Y,DCI,19.05.2.01,238,0,0
10000052,8999918181685,AIM CRACKERS CRISPY PCK 150,S1WP,PRIMA SENTOSA CV.,RT,,40738,Y,DCI,19.05.2.01,238,0,0
10000069,8995860000000,MIXAGRIP OBAT SAKIT FLU (4)  STR,S1Z3,ENSEVAL PUTERA MEGATRADING TBK PT.,RT,,42768,Y,DCI,50.03.1.06,463,5,2
10000069,8995858999953,MIXAGRIP OBAT SAKIT FLU (4)  STR,S1Z3,ENSEVAL PUTERA MEGATRADING TBK PT.,RT,,42768,Y,DCI,50.03.1.06,463,5,2
10000069,8995858999991,MIXAGRIP OBAT SAKIT FLU (4)  STR,S1Z3,ENSEVAL PUTERA MEGATRADING TBK PT.,RT,,42768,Y,DCI,50.03.1.06,463,5,2
10000075,8998670000000,KONIDIN OBAT BATUK  STR 4S,S3V8,MARGA NUSANTARA JAYA PT.( MKS ),PT,,41484,Y,DCI,51.03.2.09,188,0,0
10000075,8998667700062,KONIDIN OBAT BATUK  STR 4S,S3V8,MARGA NUSANTARA JAYA PT.( MKS ),PT,,41484,Y,DCI,51.03.2.09,188,0,0
10000075,8998667000629,KONIDIN OBAT BATUK  STR 4S,S3V8,MARGA NUSANTARA JAYA PT.( MKS ),PT,,41484,Y,DCI,51.03.2.09,188,0,0
10000075,8998667100084,KONIDIN OBAT BATUK  STR 4S,S3V8,MARGA NUSANTARA JAYA PT.( MKS ),PT,,41484,Y,DCI,51.03.2.09,188,0,0
10000088,18992800000000,FRISIAN FLAG SUSU KENTAL MANIS COKLAT KLG 370,S0LB,FRISIAN FLAG INDONESIA PT.,PT,,43838,Y,DCI,25.02.1.03,595,0,25
10000088,18992753102805,FRISIAN FLAG SUSU KENTAL MANIS COKLAT KLG 370,S0LB,FRISIAN FLAG INDONESIA PT.,PT,,43838,Y,DCI,25.02.1.03,595,0,25
10000088,18992753102201,FRISIAN FLAG SUSU KENTAL MANIS COKLAT KLG 370,S0LB,FRISIAN FLAG INDONESIA PT.,PT,,43838,Y,DCI,25.02.1.03,595,0,25
10000088,18992753016577,FRISIAN FLAG SUSU KENTAL MANIS COKLAT KLG 370,S0LB,FRISIAN FLAG INDONESIA PT.,PT,,43838,Y,DCI,25.02.1.03,595,0,25
10000088,8992750000000,FRISIAN FLAG SUSU KENTAL MANIS COKLAT KLG 370,S0LB,FRISIAN FLAG INDONESIA PT.,PT,,43838,Y,DCI,25.02.1.03,595,0,25
10000088,8992753102204,FRISIAN FLAG SUSU KENTAL MANIS COKLAT KLG 370,S0LB,FRISIAN FLAG INDONESIA PT.,PT,,43838,Y,DCI,25.02.1.03,595,0,25
10000098,X001739052019,CABE KOYO KECIL 10S  PCK,SENA,SASANDO CV.,RT,,41207,Y,DCI,51.03.3.07,1361,0,0
10000098,8993340000000,CABE KOYO KECIL 10S  PCK,SENA,SASANDO CV.,RT,,41207,Y,DCI,51.03.3.07,1361,0,0
10000098,8993338001011,CABE KOYO KECIL 10S  PCK,SENA,SASANDO CV.,RT,,41207,Y,DCI,51.03.3.07,1361,0,0
10000098,8993338005033,CABE KOYO KECIL 10S  PCK,SENA,SASANDO CV.,RT,,41207,Y,DCI,51.03.3.07,1361,0,0
10000111,X000263032017,DELMONTE FRUIT COCKTAIL  KLG 825,S1ZL,MULIA ABADI INDO PT.,RT,N,45750,Y,WHK,00.00.5.10,0,0,0
10000111,X000131092020,DELMONTE FRUIT COCKTAIL  KLG 825,S1ZL,MULIA ABADI INDO PT.,RT,N,45750,Y,WHK,00.00.5.10,0,0,0
10000111,18887300000000,DELMONTE FRUIT COCKTAIL  KLG 825,S1ZL,MULIA ABADI INDO PT.,RT,N,45750,Y,WHK,00.00.5.10,0,0,0
10000111,18887333060227,DELMONTE FRUIT COCKTAIL  KLG 825,S1ZL,MULIA ABADI INDO PT.,RT,N,45750,Y,WHK,00.00.5.10,0,0,0
10000111,8887330000000,DELMONTE FRUIT COCKTAIL  KLG 825,S1ZL,MULIA ABADI INDO PT.,RT,N,45750,Y,WHK,00.00.5.10,0,0,0
10000111,8887333090012,DELMONTE FRUIT COCKTAIL  KLG 825,S1ZL,MULIA ABADI INDO PT.,RT,N,45750,Y,WHK,00.00.5.10,0,0,0
10000111,24000010920,DELMONTE FRUIT COCKTAIL  KLG 825,S1ZL,MULIA ABADI INDO PT.,RT,N,45750,Y,WHK,00.00.5.10,0,0,0
10000133,X000309012008,KHONG GUAN BISCUIT MINI ASSORTED  KLG 650,S1X4,SURAPANDANG PT.,RT,,40809,Y,DCI,17.08.2.03,3,0,0
10000133,18888200000000,KHONG GUAN BISCUIT MINI ASSORTED  KLG 650,S1X4,SURAPANDANG PT.,RT,,40809,Y,DCI,17.08.2.03,3,0,0
10000133,18888166603612,KHONG GUAN BISCUIT MINI ASSORTED  KLG 650,S1X4,SURAPANDANG PT.,RT,,40809,Y,DCI,17.08.2.03,3,0,0
10000133,8888170000000,KHONG GUAN BISCUIT MINI ASSORTED  KLG 650,S1X4,SURAPANDANG PT.,RT,,40809,Y,DCI,17.08.2.03,3,0,0
10000133,8888166603615,KHONG GUAN BISCUIT MINI ASSORTED  KLG 650,S1X4,SURAPANDANG PT.,RT,,40809,Y,DCI,17.08.2.03,3,0,0
10000135,18992804000012,PRONAS CORNED BEEF  KLG 198,SC3B,BAHTERA WIRANIAGA INTERNUSA PT,RT,,40738,Y,DCI,27.06.2.04,331,8,0
10000135,8992800000000,PRONAS CORNED BEEF  KLG 198,SC3B,BAHTERA WIRANIAGA INTERNUSA PT,RT,,40738,Y,DCI,27.06.2.04,331,8,0
10000135,8992804119816,PRONAS CORNED BEEF  KLG 198,SC3B,BAHTERA WIRANIAGA INTERNUSA PT,RT,,40738,Y,DCI,27.06.2.04,331,8,0
10000143,X000026102014,SUN BUBUR SUSU (EKONOMIS) BERAS MERAH PCK 120,S223,INDOMARCO ADI PRIMA PT.,RT,,43830,Y,DCI,24.01.2.05,3290,0,0
10000143,10089686535058,SUN BUBUR SUSU (EKONOMIS) BERAS MERAH PCK 120,S223,INDOMARCO ADI PRIMA PT.,RT,,43830,Y,DCI,24.01.2.05,3290,0,0
10000143,896865000000,SUN BUBUR SUSU (EKONOMIS) BERAS MERAH PCK 120,S223,INDOMARCO ADI PRIMA PT.,RT,,43830,Y,DCI,24.01.2.05,3290,0,0
10000143,318,SUN BUBUR SUSU (EKONOMIS) BERAS MERAH PCK 120,S223,INDOMARCO ADI PRIMA PT.,RT,,43830,Y,DCI,24.01.2.05,3290,0,0
10000143,896865350516,SUN BUBUR SUSU (EKONOMIS) BERAS MERAH PCK 120,S223,INDOMARCO ADI PRIMA PT.,RT,,43830,Y,DCI,24.01.2.05,3290,0,0
10000144,14987200000000,VICKS OBAT BATUK FORMULA 44 DEWASA  BTL 54L,S22N,PROCTER & GAMBLE HOME PRODUCTS,PT,,41968,Y,DCI,51.01.2.02,280,72,0
10000144,14987176006889,VICKS OBAT BATUK FORMULA 44 DEWASA  BTL 54L,S22N,PROCTER & GAMBLE HOME PRODUCTS,PT,,41968,Y,DCI,51.01.2.02,280,72,0
10000144,4987180000000,VICKS OBAT BATUK FORMULA 44 DEWASA  BTL 54L,S22N,PROCTER & GAMBLE HOME PRODUCTS,PT,,41968,Y,DCI,51.01.2.02,280,72,0
10000144,4987176006875,VICKS OBAT BATUK FORMULA 44 DEWASA  BTL 54L,S22N,PROCTER & GAMBLE HOME PRODUCTS,PT,,41968,Y,DCI,51.01.2.02,280,72,0
10000144,4987176600530,VICKS OBAT BATUK FORMULA 44 DEWASA  BTL 54L,S22N,PROCTER & GAMBLE HOME PRODUCTS,PT,,41968,Y,DCI,51.01.2.02,280,72,0
10000144,4987176006882,VICKS OBAT BATUK FORMULA 44 DEWASA  BTL 54L,S22N,PROCTER & GAMBLE HOME PRODUCTS,PT,,41968,Y,DCI,51.01.2.02,280,72,0
10000144,4987176002693,VICKS OBAT BATUK FORMULA 44 DEWASA  BTL 54L,S22N,PROCTER & GAMBLE HOME PRODUCTS,PT,,41968,Y,DCI,51.01.2.02,280,72,0
10000146,X000496022016,SUN BUBUR SUSU (EKONOMIS) KACANG HIJAU PCK 120,S223,INDOMARCO ADI PRIMA PT.,RT,,40738,Y,DCI,21.03.1.03,1626,0,0
10000146,896865351506,SUN BUBUR SUSU (EKONOMIS) KACANG HIJAU PCK 120,S223,INDOMARCO ADI PRIMA PT.,RT,,40738,Y,DCI,21.03.1.03,1626,0,0
10000149,X001848052019,INSTO OBAT TETES MATA REGULER  BTL 75L,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,41395,Y,DCI,51.03.3.03,115,0,0
10000149,8992700000000,INSTO OBAT TETES MATA REGULER  BTL 75L,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,41395,Y,DCI,51.03.3.03,115,0,0
10000149,8992695203441,INSTO OBAT TETES MATA REGULER  BTL 75L,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,41395,Y,DCI,51.03.3.03,115,0,0
10000149,8885015220061,INSTO OBAT TETES MATA REGULER  BTL 75L,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,41395,Y,DCI,51.03.3.03,115,0,0
10000149,8885020000000,INSTO OBAT TETES MATA REGULER  BTL 75L,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,41395,Y,DCI,51.03.3.03,115,0,0
10000154,8992112014018,NEOZEP FORTE OBAT FLU TABLET 4S  STR,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,42754,Y,DCI,50.03.3.09,287,4,0
10000154,X001766052019,NEOZEP FORTE OBAT FLU TABLET 4S  STR,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,42754,Y,DCI,50.03.3.09,287,4,0
10000154,8992110000000,NEOZEP FORTE OBAT FLU TABLET 4S  STR,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,42754,Y,DCI,50.03.3.09,287,4,0
10000154,8992112014087,NEOZEP FORTE OBAT FLU TABLET 4S  STR,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,42754,Y,DCI,50.03.3.09,287,4,0
10000154,8992112014056,NEOZEP FORTE OBAT FLU TABLET 4S  STR,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,42754,Y,DCI,50.03.3.09,287,4,0
10000154,8992112014063,NEOZEP FORTE OBAT FLU TABLET 4S  STR,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,42754,Y,DCI,50.03.3.09,287,4,0
10000155,X001763052019,DECOLGEN OBAT FLU (4S) TABLET STR,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,42173,Y,DCI,51.03.3.09,390,0,0
10000155,8992112025014,DECOLGEN OBAT FLU (4S) TABLET STR,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,42173,Y,DCI,51.03.3.09,390,0,0
10000155,8992112025021,DECOLGEN OBAT FLU (4S) TABLET STR,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,42173,Y,DCI,51.03.3.09,390,0,0
10000155,8992112007010,DECOLGEN OBAT FLU (4S) TABLET STR,S21A,ANUGERAH PHARMINDO LESTARI PT.,RT,,42173,Y,DCI,51.03.3.09,390,0,0
10000159,X001769052019,VICKS INHALER OBAT FLU  TUB,S22N,PROCTER & GAMBLE HOME PRODUCTS,PT,,40736,Y,DCI,51.01.3.12,1113,0,2
10000159,14987176018233,VICKS INHALER OBAT FLU  TUB,S22N,PROCTER & GAMBLE HOME PRODUCTS,PT,,40736,Y,DCI,51.01.3.12,1113,0,2
10000159,4987176018083,VICKS INHALER OBAT FLU  TUB,S22N,PROCTER & GAMBLE HOME PRODUCTS,PT,,40736,Y,DCI,51.01.3.12,1113,0,2
10000159,4902430000000,VICKS INHALER OBAT FLU  TUB,S22N,PROCTER & GAMBLE HOME PRODUCTS,PT,,40736,Y,DCI,51.01.3.12,1113,0,2
